"unique_id","ds","y"
"us_gasoline",1991-02-04,6.621
"us_gasoline",1991-02-11,6.433
"us_gasoline",1991-02-18,6.582
"us_gasoline",1991-02-25,7.224
"us_gasoline",1991-03-04,6.875
"us_gasoline",1991-03-11,6.947
"us_gasoline",1991-03-18,7.328
"us_gasoline",1991-03-25,6.777
"us_gasoline",1991-04-01,7.503
"us_gasoline",1991-04-08,6.916
"us_gasoline",1991-04-15,7.045
"us_gasoline",1991-04-22,6.956
"us_gasoline",1991-04-29,6.976
"us_gasoline",1991-05-06,7.185
"us_gasoline",1991-05-13,6.899
"us_gasoline",1991-05-20,7.396
"us_gasoline",1991-05-27,7.287
"us_gasoline",1991-06-03,7.22
"us_gasoline",1991-06-10,7.651
"us_gasoline",1991-06-17,7.72
"us_gasoline",1991-06-24,7.543
"us_gasoline",1991-07-01,7.961
"us_gasoline",1991-07-08,7.327
"us_gasoline",1991-07-15,7.38
"us_gasoline",1991-07-22,7.501
"us_gasoline",1991-07-29,7.605
"us_gasoline",1991-08-05,7.584
"us_gasoline",1991-08-12,7.401
"us_gasoline",1991-08-19,7.505
"us_gasoline",1991-08-26,7.427
"us_gasoline",1991-09-02,6.993
"us_gasoline",1991-09-09,7.402
"us_gasoline",1991-09-16,7.391
"us_gasoline",1991-09-23,7.088
"us_gasoline",1991-09-30,6.949
"us_gasoline",1991-10-07,7.506
"us_gasoline",1991-10-14,7.396
"us_gasoline",1991-10-21,7.421
"us_gasoline",1991-10-28,7.159
"us_gasoline",1991-11-04,7.379
"us_gasoline",1991-11-11,7.369
"us_gasoline",1991-11-18,6.652
"us_gasoline",1991-11-25,6.769
"us_gasoline",1991-12-02,6.828
"us_gasoline",1991-12-09,7.344
"us_gasoline",1991-12-16,7.447
"us_gasoline",1991-12-23,7.186
"us_gasoline",1991-12-30,6.642
"us_gasoline",1992-01-06,6.788
"us_gasoline",1992-01-13,6.783
"us_gasoline",1992-01-20,7.037
"us_gasoline",1992-01-27,7.112
"us_gasoline",1992-02-03,7.039
"us_gasoline",1992-02-10,6.576
"us_gasoline",1992-02-17,7.002
"us_gasoline",1992-02-24,6.77
"us_gasoline",1992-03-02,7.002
"us_gasoline",1992-03-09,6.806
"us_gasoline",1992-03-16,7.221
"us_gasoline",1992-03-23,7.379
"us_gasoline",1992-03-30,7.027
"us_gasoline",1992-04-06,7.744
"us_gasoline",1992-04-13,6.464
"us_gasoline",1992-04-20,7.376
"us_gasoline",1992-04-27,7.899
"us_gasoline",1992-05-04,7.318
"us_gasoline",1992-05-11,7.174
"us_gasoline",1992-05-18,7.086
"us_gasoline",1992-05-25,7.774
