unique_id,ds,y
Adelaide-South Australia-Business,1998-03-31,135.0776903
Adelaide-South Australia-Business,1998-06-30,109.987316
Adelaide-South Australia-Business,1998-09-30,166.0346866
Adelaide-South Australia-Business,1998-12-31,127.1604643
Adelaide-South Australia-Business,1999-03-31,137.4485333
Adelaide-South Australia-Business,1999-06-30,199.9125861
Adelaide-South Australia-Business,1999-09-30,169.3550898
Adelaide-South Australia-Business,1999-12-31,134.3579372
Adelaide-South Australia-Business,2000-03-31,154.034398
Adelaide-South Australia-Business,2000-06-30,168.7763637
Adelaide-South Australia-Business,2000-09-30,223.0651159
Adelaide-South Australia-Business,2000-12-31,241.2206893
Adelaide-South Australia-Business,2001-03-31,132.5000378
Adelaide-South Australia-Business,2001-06-30,178.3980945
Adelaide-South Australia-Business,2001-09-30,195.9963258
Adelaide-South Australia-Business,2001-12-31,101.1746931
Adelaide-South Australia-Business,2002-03-31,237.8327914
Adelaide-South Australia-Business,2002-06-30,150.7266327
Adelaide-South Australia-Business,2002-09-30,167.7128424
Adelaide-South Australia-Business,2002-12-31,140.3395127
Adelaide-South Australia-Business,2003-03-31,139.4467919
Adelaide-South Australia-Business,2003-06-30,159.6580081
Adelaide-South Australia-Business,2003-09-30,232.1073047
Adelaide-South Australia-Business,2003-12-31,158.5960175
Adelaide-South Australia-Business,2004-03-31,138.4674189
Adelaide-South Australia-Business,2004-06-30,229.7141455
Adelaide-South Australia-Business,2004-09-30,242.4943675
Adelaide-South Australia-Business,2004-12-31,123.0611006
Adelaide-South Australia-Business,2005-03-31,127.9992552
Adelaide-South Australia-Business,2005-06-30,73.2530124
Adelaide-South Australia-Business,2005-09-30,166.7247035
Adelaide-South Australia-Business,2005-12-31,122.2969489
Adelaide-South Australia-Business,2006-03-31,127.247714
Adelaide-South Australia-Business,2006-06-30,176.075701
Adelaide-South Australia-Business,2006-09-30,157.857561
Adelaide-South Australia-Business,2006-12-31,106.677495
Adelaide-South Australia-Business,2007-03-31,134.3680297
Adelaide-South Australia-Business,2007-06-30,168.5935923
Adelaide-South Australia-Business,2007-09-30,146.1038104
Adelaide-South Australia-Business,2007-12-31,134.5737045
Adelaide-South Australia-Business,2008-03-31,127.1683903
Adelaide-South Australia-Business,2008-06-30,151.9719803
Adelaide-South Australia-Business,2008-09-30,152.2058109
Adelaide-South Australia-Business,2008-12-31,160.6362718
Adelaide-South Australia-Business,2009-03-31,113.8600217
Adelaide-South Australia-Business,2009-06-30,152.7243494
