unique_id,ds,y
www_usage,1,88
www_usage,2,84
www_usage,3,85
www_usage,4,85
www_usage,5,84
www_usage,6,85
www_usage,7,83
www_usage,8,85
www_usage,9,88
www_usage,10,89
www_usage,11,91
www_usage,12,99
www_usage,13,104
www_usage,14,112
www_usage,15,126
www_usage,16,138
www_usage,17,146
www_usage,18,151
www_usage,19,150
www_usage,20,148
www_usage,21,147
www_usage,22,149
www_usage,23,143
www_usage,24,132
www_usage,25,131
www_usage,26,139
www_usage,27,147
www_usage,28,150
www_usage,29,148
www_usage,30,145
www_usage,31,140
www_usage,32,134
www_usage,33,131
www_usage,34,131
www_usage,35,129
www_usage,36,126
www_usage,37,126
www_usage,38,132
www_usage,39,137
www_usage,40,140
www_usage,41,142
www_usage,42,150
www_usage,43,159
www_usage,44,167
www_usage,45,170
www_usage,46,171
www_usage,47,172
www_usage,48,172
www_usage,49,174
www_usage,50,175
www_usage,51,172
www_usage,52,172
www_usage,53,174
www_usage,54,174
www_usage,55,169
www_usage,56,165
www_usage,57,156
www_usage,58,142
www_usage,59,131
www_usage,60,121
www_usage,61,112
www_usage,62,104
www_usage,63,102
www_usage,64,99
www_usage,65,99
www_usage,66,95
www_usage,67,88
www_usage,68,84
www_usage,69,84
www_usage,70,87
www_usage,71,89
www_usage,72,88
www_usage,73,85
www_usage,74,86
www_usage,75,89
www_usage,76,91
www_usage,77,91
www_usage,78,94
www_usage,79,101
www_usage,80,110
www_usage,81,121
www_usage,82,135
www_usage,83,145
www_usage,84,149
www_usage,85,156
www_usage,86,165
www_usage,87,171
www_usage,88,175
www_usage,89,177
www_usage,90,182
www_usage,91,193
www_usage,92,204
www_usage,93,208
www_usage,94,210
www_usage,95,215
www_usage,96,222
www_usage,97,228
www_usage,98,226
www_usage,99,222
www_usage,100,220
